Date,Close/Last,Volume,Open,High,Low
08/05/2019,$45.664,35141395,$45.92,$46.2735,$45.155
08/02/2019,$46.868,30682405,$46.27,$47.254,$45.846
08/01/2019,$46.77,41297580,$48.53,$48.902,$46.354
07/31/2019,$48.322,45891040,$48.6,$49.336,$47.33
07/30/2019,$48.452,40545070,$46.58,$48.672,$46.436
07/29/2019,$47.154,46366655,$45.418,$47.188,$45.2065
07/26/2019,$45.608,50138500,$45.384,$46.052,$44.45
07/25/2019,$45.764,112091250,$46.7,$46.9,$45.11
07/24/2019,$52.976,55364200,$51.834,$53.214,$51.632
07/23/2019,$52.034,25115605,$51.342,$52.096,$50.9
07/22/2019,$51.136,34231365,$51.75,$52.431,$50.8382
07/19/2019,$51.636,35242050,$51.138,$51.992,$50.924
07/18/2019,$50.708,23822415,$51.01,$51.15,$50.377
07/17/2019,$50.972,48823635,$51.134,$51.662,$50.67
07/16/2019,$50.476,40744945,$49.86,$50.706,$49.5865
07/15/2019,$50.7,55000450,$49.6,$50.884,$48.972
07/12/2019,$49.016,46002605,$47.95,$49.076,$47.942
07/11/2019,$47.72,37572150,$47.628,$48.3,$47.16
07/10/2019,$47.784,45728680,$46.83,$47.788,$46.628
07/09/2019,$46.012,30954175,$45.794,$46.2,$45.456
07/08/2019,$46.068,29402710,$46.248,$46.45,$45.732
07/05/2019,$46.62,35328690,$46.914,$47.09,$46.16
07/03/2019,$46.98,71005750,$47.878,$48.314,$46.902
07/02/2019,$44.91,46295135,$45.778,$45.83,$44.444
07/01/2019,$45.434,41189820,$46.042,$46.6199,$45.256
06/28/2019,$44.692,34256920,$44.198,$45.034,$44.16
06/27/2019,$44.568,31698550,$43.89,$44.58,$43.47
06/26/2019,$43.854,42536040,$44.062,$45.446,$43.62
06/25/2019,$43.952,30910355,$44.878,$45.068,$43.898
06/24/2019,$44.728,28753855,$44.648,$45.172,$44.204
06/21/2019,$44.372,41010390,$43.244,$44.436,$43.1
06/20/2019,$43.924,59317300,$44.6,$45.38,$43.27
